,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
,,,North America,,"33,890,918","+7,521","771,371",+822,"23,706,426","+5,319"
,,,Asia,,"25,312,988",+430,"401,501",+8,"23,765,863",+411
,,,South America,,"18,329,295",+969,"475,595",+27,"16,566,888",+606
,,,Europe,,"34,664,874",,"826,911",,"24,282,703",
,,,Africa,,"3,966,393",,"105,165",,"3,527,350",
,,,Oceania,,"51,391",+14,"1,091",,"34,313",+3
,,,,,721,,15,,706,
,,World,"116,216,580","+8,934","2,581,649",+857,"91,884,249","+6,339","21,750,682","89,747"
,1,USA,"29,526,086",,"533,636 ",,"20,093,442",,"8,899,008","13,934"
,2,India,"11,173,572",,"157,584 ",,"10,838,021",,"177,967","8,944"
,3,Brazil,"10,796,506",,"261,188 ",,"9,637,020",,"898,298","8,318"
,4,Russia,"4,290,135",,"87,823 ",,"3,869,857",,"332,455","2,300"
,5,UK,"4,201,358",,"124,025 ",,"3,096,564",,"980,769","1,647"
,6,France,"3,835,595",,"87,835 ",,"262,690",,"3,485,070","3,633"
,7,Spain,"3,142,358",,"70,501 ",,"2,722,304",,"349,553","2,615"
,8,Italy,"2,999,119",,"98,974 ",,"2,453,706",,"446,439","2,475"
,9,Turkey,"2,746,158",,"28,839 ",,"2,601,137",,"116,182","1,220"
,10,Germany,"2,484,306",,"72,007 ",,"2,283,400",,"128,899","2,848"
,11,Colombia,"2,266,211",,"60,189 ",,"2,164,438",,"41,584","2,240"
,12,Argentina,"2,133,963",,"52,644 ",,"1,928,377",,"152,942","3,521"
,13,Mexico,"2,112,508","+7,521","188,866 ",+822,"1,655,549","+5,319","268,093","4,798"
,14,Poland,"1,750,659",,"44,649 ",,"1,448,619",,"257,391","1,650"
,15,Iran,"1,665,103",,"60,431 ",,"1,420,958",,"183,714","3,760"
,16,South Africa,"1,517,666",,"50,462 ",,"1,436,010",,"31,194",546
